date|description|withdrawal|deposit|balance
08-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|5.5|0.0|14893.57
08-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.88|0.0|14892.69
08-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.0|15000.0|29892.69
08-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|9085.0|0.0|20807.69
08-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|5.5|0.0|20802.19
08-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.0|0.0|20802.19
08-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.88|0.0|20801.31
08-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|5000.0|0.0|15801.31
08-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|5.5|0.0|15795.81
08-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.88|0.0|15794.93
08-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|3700.0|0.0|12094.93
08-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|300.0|0.0|11794.93
08-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|500.0|0.0|11294.93
11-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|125.0|0.0|11169.93
11-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|20.0|0.0|11149.93
11-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.0|30000.0|41149.93
11-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|30000.0|0.0|11149.93
12-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|5000.0|0.0|6149.93
12-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|4100.0|0.0|2049.93
12-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|900.0|0.0|1149.93
13-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|550.0|0.0|599.93
13-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|55|0.0|594.43
13-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.0|0.0|594.43
13-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.88|0.0|593.55
13-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|300.0|0.0|293.55
13-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.0|99000.0|99293.55
13-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|30000.0|0.0|69293.55
13-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|5.5|0.0|69288.05
13-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.88|0.0|69287.17
13-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|15000.0|0.0|54287.17
13-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|5.5|0.0|54281.67
13-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.88|0.0|54280.79
13-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|14000.0|0.0|40280.79
13-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|5.5|0.0|40275.29
13-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.88|0.0|40274.41
14-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|450.0|0.0|39824.41
14-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|300.0|0.0|39524.41
14-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|16400.0|0.0|23124.41
14-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.0|10000.0|33124.41
14-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.0|0.0|33124.41
14-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|30000.0|0.0|3124.41
14-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|5.5|0.0|3118.91
14-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.88|0.0|3118.03
15-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|1256.99|0.0|1861.04
15-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|1200.0|0.0|661.04
15-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.0|4000.0|4661.04
15-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|450.0|0.0|4211.04
15-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|4000.0|0.0|211.04
17-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|150.0|0.0|61.04
19-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.0|2900.0|2961.04
19-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|2900.0|0.0|61.04
19-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|5.5|0.0|55.54
19-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.88|0.0|54.66
20-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|47.12|0.0|7.54
20-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|7.54|0.0|0.0
20-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.0|0.0|0.0
20-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.0|22000.0|22000.0
20-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|16100.0|0.0|5900.0
20-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|5.5|0.0|5894.5
20-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.88|0.0|5893.62
20-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|1500.0|0.0|4393.62
20-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|5.5|0.0|4388.12
20-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.88|0.0|4387.24
20-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|600.0|0.0|3787.24
21-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|990.0|0.0|2797.24
21-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|158.4|0.0|2638.84
21-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|942.88|0.0|1695.96
21-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|150.86|0.0|1545.1
22-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.0|1000.0|2545.1
22-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.0|1000.0|3545.1
22-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.0|1000.0|4545.1
22-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.0|19400.0|23945.1
22-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|5000.0|0.0|18945.1
23-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|7030.74|0.0|11914.36
23-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.0|0.0|11914.36
23-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|4000.0|0.0|7914.36
24-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|1000.0|0.0|6914.36
24-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|1000.0|0.0|7914.36
24-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|1000.0|0.0|6914.36
25-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|966.0|0.0|5948.36
25-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|3198.0|0.0|2750.36
25-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|700.0|0.0|2050.36
25-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.0|1100.0|3150.36
25-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.0|7450.0|10600.36
25-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|4000.0|0.0|6600.36
26-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.0|6728.0|13328.36
26-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|1850.0|0.0|11478.36
26-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|1000.0|0.0|10478.36
26-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|5.5|0.0|10472.86
26-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.88|0.0|10471.98
26-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|2000.0|0.0|8471.98
26-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.0|0.0|8471.98
26-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|5.5|0.0|8466.48
26-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.88|0.0|8465.6
27-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|5000.0|0.0|3465.6
27-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|5.5|0.0|3460.1
27-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.88|0.0|3459.22
27-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|1145.2|0.0|2314.02
27-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|5.5|0.0|2308.52
27-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.88|0.0|2307.64
27-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|800.0|0.0|1507.64
28-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|600.0|0.0|907.64
28-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|600.0|0.0|307.64
29-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.0|11400.0|11707.64
29-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|8300.0|0.0|3407.64
29-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|5.5|0.0|3402.14
29-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.88|0.0|3401.26
29-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|1000.0|0.0|2401.26
